                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2031,                 1.8863,                 1.3432,                0.33496,                0.30834,                0.22049,                0.11548,                  1.861,                 1.8039,                  1.369,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.2258,                 1.8864,                 1.3424,                0.35945,                0.37056,                0.25412,                0.13367,                 1.8555,                 1.6428,                 1.3518,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.2235,                  1.879,                 1.3682,                0.33557,                0.35447,                0.22602,                0.11452,                 1.8513,                 1.6759,                 1.3567,               0.001307,               0.001307,               0.001307
                     37,                 2.1802,                  1.859,                  1.344,                0.33724,                 0.3853,                0.21231,                0.10205,                 1.8284,                 1.6541,                  1.323,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.2577,                  1.888,                  1.344,                0.37169,                0.34132,                0.23682,                0.12204,                 1.9011,                 1.6302,                 1.3793,              0.0012674,              0.0012674,              0.0012674
                     39,                  2.154,                 1.8344,                 1.3186,                0.36046,                 0.3894,                0.24547,                0.12869,                 1.7665,                 1.5563,                 1.2951,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.1554,                 1.8619,                 1.3337,                0.35919,                0.37527,                0.22503,                 0.1154,                 1.7828,                 1.6379,                 1.3029,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.1429,                 1.8225,                  1.317,                0.41736,                0.36467,                0.31853,                0.17248,                 1.8378,                 1.5442,                 1.3478,               0.001208,               0.001208,               0.001208
                     42,                 2.1516,                 1.8298,                 1.3292,                0.38126,                0.36075,                0.24925,                0.12911,                 1.8303,                 1.6249,                  1.332,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.1284,                 1.8158,                 1.3095,                0.36678,                0.38842,                0.24932,                0.13372,                 1.7646,                 1.5796,                 1.2998,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.1236,                 1.8069,                 1.3073,                0.37978,                0.40785,                0.31451,                0.17372,                 1.7365,                  1.514,                 1.2798,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.1153,                 1.7876,                 1.3015,                0.39262,                0.40844,                0.30061,                0.16599,                 1.7033,                 1.4994,                 1.2735,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.0931,                 1.7799,                 1.2886,                0.37861,                0.40216,                 0.2512,                0.13075,                   1.76,                 1.5193,                  1.284,               0.001109,               0.001109,               0.001109
                     47,                 2.1138,                 1.7952,                 1.3076,                0.38912,                0.38567,                 0.2823,                0.14861,                 1.8118,                  1.565,                 1.3282,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.0729,                 1.7618,                 1.2926,                0.38762,                0.39725,                0.31099,                0.17419,                 1.6913,                 1.5139,                 1.2564,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.0612,                 1.7434,                 1.2839,                0.39026,                0.40785,                0.31916,                0.18198,                  1.685,                  1.485,                 1.2584,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.0562,                  1.774,                  1.292,                0.38109,                0.40884,                0.28053,                0.15351,                 1.6916,                 1.5271,                 1.2459,              0.0010298,              0.0010298,              0.0010298
                     51,                  2.061,                 1.7489,                 1.2894,                0.37892,                0.40236,                0.25689,                0.13919,                 1.7524,                 1.5531,                  1.285,                0.00101,                0.00101,                0.00101
                     52,                 2.0385,                 1.7486,                 1.2795,                0.37561,                0.39372,                0.25234,                0.13311,                 1.7227,                 1.5637,                 1.2719,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.0293,                 1.7273,                 1.2759,                 0.4012,                0.41237,                0.33734,                0.19426,                 1.6649,                 1.4494,                 1.2472,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.0352,                 1.7508,                 1.2735,                0.38604,                0.41472,                0.31099,                0.17295,                 1.6752,                 1.4834,                 1.2526,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.0035,                 1.7239,                 1.2675,                 0.3746,                0.41288,                0.25985,                 0.1449,                 1.6678,                  1.543,                 1.2499,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.0137,                 1.7395,                 1.2507,                0.36873,                0.41315,                0.24414,                0.12392,                 1.6932,                 1.5598,                 1.2596,               0.000911,               0.000911,               0.000911
                     57,                 2.0192,                 1.7226,                 1.2671,                0.39093,                0.41923,                0.27536,                0.15121,                 1.6654,                 1.4752,                 1.2461,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.9904,                 1.7026,                 1.2439,                0.36432,                0.42665,                0.24513,                0.13196,                 1.6432,                  1.503,                 1.2279,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.0022,                 1.7078,                 1.2601,                0.36313,                0.40412,                0.23687,                0.13005,                 1.6704,                 1.5173,                 1.2602,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.9641,                 1.7039,                 1.2665,                0.41694,                0.44024,                0.36853,                0.21116,                 1.6536,                 1.3992,                 1.2339,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.9788,                 1.6963,                 1.2295,                0.41341,                0.40778,                0.33169,                0.18478,                 1.6625,                  1.479,                 1.2446,               0.000812,               0.000812,               0.000812
                     62,                 1.9561,                 1.6927,                 1.2589,                0.37915,                0.42453,                0.29658,                0.16947,                 1.6195,                 1.4713,                 1.2326,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.9634,                 1.7003,                 1.2592,                0.39428,                 0.4473,                0.27027,                0.14585,                 1.6155,                 1.4632,                 1.2195,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.9225,                 1.6585,                 1.2419,                0.35022,                0.41575,                0.23487,                 0.1228,                 1.6426,                  1.573,                 1.2324,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.9558,                 1.6592,                  1.219,                0.41778,                0.44239,                0.30868,                0.16776,                 1.6044,                 1.4084,                 1.2214,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.9302,                 1.6872,                 1.2535,                0.42454,                0.42139,                0.34772,                 0.2011,                 1.6001,                 1.4125,                 1.2163,               0.000713,               0.000713,               0.000713
                     67,                 1.9513,                 1.6778,                 1.2294,                0.38039,                0.45417,                0.28051,                0.15627,                  1.601,                 1.4679,                 1.2174,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.9072,                 1.6531,                 1.2389,                0.39677,                0.45711,                0.27977,                0.15047,                 1.6208,                 1.4496,                  1.209,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.9242,                 1.6484,                 1.2305,                0.39905,                0.43906,                0.30821,                0.17501,                 1.5736,                 1.4263,                 1.2011,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.8872,                 1.6335,                 1.2236,                0.39291,                0.44691,                0.31236,                0.17989,                 1.5707,                 1.4217,                 1.2029,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.9006,                 1.6409,                 1.2125,                0.39478,                0.43388,                0.28405,                0.15817,                 1.5759,                 1.4714,                 1.2003,               0.000614,               0.000614,               0.000614
                     72,                 1.8825,                 1.6319,                 1.2244,                0.40662,                0.43724,                0.33222,                0.19019,                 1.5962,                  1.399,                 1.2114,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.8706,                 1.6227,                 1.2095,                0.37819,                0.42963,                 0.2538,                0.13805,                 1.6006,                 1.4902,                 1.2119,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.8896,                 1.6281,                 1.1977,                0.40768,                0.43742,                0.31252,                0.18076,                 1.5471,                 1.3854,                 1.1852,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.8595,                 1.6162,                 1.2093,                0.42238,                0.43278,                0.33801,                0.19855,                 1.5668,                 1.3842,                 1.1996,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.8778,                 1.6071,                  1.215,                0.40051,                0.44377,                0.31597,                0.18037,                 1.5764,                  1.435,                 1.2009,               0.000515,               0.000515,               0.000515
