                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9874,                 4.6766,                 4.1835,                0.00042,                0.02155,                0.00022,                  7e-05,                 3.2889,                  3.885,                 4.1207,             0.00065333,             0.00065333,             0.00065333
                      2,                 3.7127,                 4.1745,                 3.9872,                 0.0005,                0.02586,                0.00026,                  8e-05,                 3.6037,                 3.5438,                 4.3194,              0.0012764,              0.0012764,              0.0012764
                      3,                 3.5133,                 4.0123,                 3.7915,                0.00219,                0.11207,                0.00134,                0.00025,                 3.0959,                 25.515,                 3.9601,              0.0018555,              0.0018555,              0.0018555
                      4,                 3.3891,                 4.0421,                  3.656,                0.00203,                0.08621,                0.00115,                0.00046,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      5,                  3.411,                 3.7702,                 3.4592,                0.00297,                0.15086,                0.00185,                0.00046,                 3.2431,                    nan,                 3.8014,               0.001736,               0.001736,               0.001736
                      6,                 3.3547,                 3.6715,                 3.3159,                0.00283,                0.14655,                0.00163,                0.00042,                 3.0695,                 113.89,                  3.711,                0.00167,                0.00167,                0.00167
                      7,                 3.2714,                    3.6,                 3.2664,                0.00442,                0.22845,                0.00337,                0.00086,                 3.2621,                 4.0113,                 3.5745,               0.001604,               0.001604,               0.001604
                      8,                 3.3099,                 3.6192,                  3.267,                0.05332,                0.06466,                0.01831,                0.00424,                 3.0518,                 5.6676,                 3.5646,               0.001538,               0.001538,               0.001538
                      9,                 3.2893,                  3.477,                 3.1875,                 0.0075,                0.38793,                0.00715,                0.00187,                 2.9197,                 3.6147,                  3.492,               0.001472,               0.001472,               0.001472
                     10,                 3.2953,                 3.5137,                 3.1011,                0.02651,                0.15086,                0.01119,                0.00298,                 3.4118,                 3.9959,                 4.0891,               0.001406,               0.001406,               0.001406
                     11,                 3.1835,                  3.423,                  3.032,                0.02621,                0.22845,                0.02462,                0.00626,                 2.8154,                 3.3315,                 3.2808,                0.00134,                0.00134,                0.00134
                     12,                 3.0763,                 3.3939,                 3.0436,                0.04325,                0.08621,                  0.021,                0.00522,                 2.7457,                 3.3289,                 3.1401,               0.001274,               0.001274,               0.001274
                     13,                 3.0944,                 3.5093,                 3.0148,                0.01083,                0.56034,                0.04115,                0.01142,                 2.7708,                 3.3035,                 3.2113,               0.001208,               0.001208,               0.001208
                     14,                 3.1265,                 3.4745,                 2.9609,                0.00842,                0.43534,                0.00723,                0.00232,                 2.7857,                 3.6198,                  3.205,               0.001142,               0.001142,               0.001142
                     15,                 3.0179,                 3.4752,                 2.9901,                0.09956,                0.08621,                0.03696,                0.01168,                 2.6855,                  3.243,                 3.1588,               0.001076,               0.001076,               0.001076
                     16,                 2.9381,                  3.381,                 2.9158,                0.00951,                0.49138,                0.02755,                0.00853,                 2.7426,                 3.4219,                 3.2633,                0.00101,                0.00101,                0.00101
                     17,                 2.9794,                 3.4543,                 2.8996,                0.01217,                0.62931,                0.02985,                0.00875,                 2.6459,                 3.2322,                 3.0497,               0.000944,               0.000944,               0.000944
                     18,                 2.9779,                 3.4131,                 2.8897,                0.00883,                 0.4569,                0.00801,                0.00279,                 2.6698,                 3.5757,                  2.977,               0.000878,               0.000878,               0.000878
                     19,                 2.9905,                 3.3633,                 2.8944,                0.01175,                0.60776,                0.03624,                 0.0112,                 2.5452,                 3.1724,                 2.9907,               0.000812,               0.000812,               0.000812
                     20,                 2.9439,                 3.3049,                  2.879,                0.04498,                0.34483,                0.05766,                0.01917,                 2.5869,                 3.1625,                 3.0463,               0.000746,               0.000746,               0.000746
                     21,                 2.7681,                 3.3305,                 2.7862,                0.22888,                0.10345,                0.09381,                 0.0334,                 2.4849,                 2.9301,                 2.8872,                0.00068,                0.00068,                0.00068
                     22,                 2.7244,                  3.355,                 2.7368,                0.01092,                0.56466,                0.01282,                0.00432,                 2.4941,                 3.3966,                 2.8613,               0.000614,               0.000614,               0.000614
                     23,                 2.6675,                 3.3432,                 2.7084,                0.21858,                0.11207,                0.10171,                0.03232,                 2.4155,                 2.9159,                 2.7752,               0.000548,               0.000548,               0.000548
                     24,                 2.6607,                  3.296,                 2.7391,                0.20535,                0.06897,                0.09378,                0.02953,                  2.499,                 2.9749,                 2.7983,               0.000482,               0.000482,               0.000482
                     25,                 2.6345,                 3.1833,                 2.7093,                0.02822,                0.43534,                0.03036,                0.01091,                 2.5453,                 3.1162,                 2.8529,               0.000416,               0.000416,               0.000416
                     26,                 2.6579,                 3.2608,                 2.7493,                0.14415,                0.09052,                 0.0632,                0.02266,                 2.4124,                 2.9484,                 2.8023,                0.00035,                0.00035,                0.00035
                     27,                 2.6273,                 3.2077,                 2.8005,                0.24387,                 0.1681,                0.13694,                0.04722,                 2.3552,                  2.738,                  2.767,               0.000284,               0.000284,               0.000284
                     28,                  2.568,                 3.1327,                 2.7045,                0.13937,                0.16379,                0.07613,                0.02913,                 2.3259,                  2.863,                 2.7831,               0.000218,               0.000218,               0.000218
                     29,                 2.5362,                 3.1671,                 2.7001,                0.10328,                0.18103,                0.05679,                0.02101,                 2.3379,                 2.8947,                 2.7874,               0.000152,               0.000152,               0.000152
                     30,                 2.5837,                  3.166,                 2.7111,                0.09657,                 0.1244,                0.05753,                0.02123,                 2.3063,                 2.8714,                  2.762,                8.6e-05,                8.6e-05,                8.6e-05
