                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6553,                 1.6802,                  1.363,                0.28407,                0.52941,                0.22908,                0.15166,                 1.4132,                 1.8795,                 1.4098,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6981,                 1.7292,                 1.3676,                0.35598,                0.48911,                0.37698,                0.26552,                  1.329,                 1.7938,                 1.3667,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.6469,                 1.6958,                 1.3593,                0.31959,                0.53704,                0.30006,                0.20836,                 1.2582,                 1.6812,                 1.3268,               0.000614,               0.000614,               0.000614
                     37,                 1.6331,                 1.7008,                 1.3384,                 0.4355,                0.55213,                0.47228,                0.34001,                  1.249,                 1.6014,                 1.3101,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6594,                 1.7038,                 1.3686,                0.46827,                0.49564,                0.48224,                0.33525,                 1.2882,                 1.6606,                  1.323,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5881,                 1.6353,                 1.3401,                0.31663,                0.55447,                 0.2947,                0.20621,                 1.2218,                 1.7456,                 1.2878,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5911,                 1.6541,                 1.3256,                0.42994,                0.59259,                0.44816,                0.32491,                 1.1918,                 1.6475,                 1.2754,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5151,                 1.6374,                 1.3606,                0.31681,                0.55229,                0.29399,                0.20639,                 1.2545,                 1.7381,                 1.3158,               0.000416,               0.000416,               0.000416
                     42,                 1.4642,                 1.5776,                 1.3274,                0.47673,                0.54139,                0.50911,                0.37125,                 1.2476,                 1.5811,                 1.3059,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4675,                  1.589,                 1.3339,                0.33641,                 0.5318,                0.32022,                0.21982,                 1.2835,                  1.775,                 1.3142,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4475,                 1.5747,                 1.3205,                0.36525,                0.53377,                0.35223,                0.25946,                 1.2006,                 1.6474,                 1.2873,              0.0002972,              0.0002972,              0.0002972
                     45,                   1.44,                 1.5691,                 1.3178,                0.40988,                0.57298,                0.43891,                0.31263,                 1.2248,                 1.5532,                  1.287,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4162,                  1.551,                 1.3081,                0.42676,                0.57625,                0.46485,                0.33848,                  1.188,                 1.4642,                 1.2707,               0.000218,               0.000218,               0.000218
                     47,                 1.4066,                 1.5684,                 1.3095,                0.35148,                0.50545,                0.37047,                0.27216,                 1.1762,                 1.7186,                  1.254,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4263,                 1.5486,                 1.2998,                0.39313,                0.56209,                0.43622,                0.31768,                 1.1674,                 1.5096,                 1.2559,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4026,                 1.5419,                 1.3222,                0.37065,                0.59477,                0.39189,                0.28758,                 1.1357,                 1.4951,                 1.2442,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.383,                 1.5202,                 1.2876,                0.33839,                0.59839,                0.34133,                0.24992,                 1.1379,                 1.5664,                 1.2443,               5.96e-05,               5.96e-05,               5.96e-05
